"93","99B","24","J K","5","V","BCO24","0.48380","BCO36","0.32260","BB46","0.06451","AE67","0.03225","AN75","0.03225","HAR","0.01612","AGUA","0.04838","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"94","OA","100","P","5","V","MAR120","0.45620","MAR80","0.30410","AE67","0.12160","B64N","0.06100","AGUA","0.05700","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"95","C N","120","N","5","V","CN120","0.47410","CN100","0.23700","CZ120","0.03556","A73N","0.11850","B55N","0.05926","AGUA","0.07550","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"96","99R","36","K","5","V","BCO24","0.23880","BCO36","0.55730","B64N","0.12730","OH","0.00079","HAR","0.01600","AGUA","0.05971","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"97","99R","36.","J","6","V","BCO24","0.24000","BCO36","0.56210","B64N","0.11300","OH","0.00080","HAR","0.02407","AGUA","0.06000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"98","99R","46","J K","8","V","BCO36","0.23030","BCO46","0.53640","B64N","0.13030","AS30","0.03822","OH","0.00055","HAR","0.01927","AGUA","0.04500","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"99","49A","46","J K","5","V","MAR46","0.57500","BCO36","0.22960","AE67","0.08642","B64N","0.04232","HAR","0.01128","AGUA","0.05537","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"100","C N","24","R","5","V","CN 14","0.17690","CN 24","0.17690","CN 36","0.13500","CN 80","0.04185","ARM","0.14170","CZ120","0.06754","A73N","0.11770","B55N","0.05887","AGUA","0.08350","","0.00000","","0.00000","","0.00000"
"101","99R","36","Q","5","V","BCO36","0.44820","BCO46","0.22410","BCO60","0.11210","B64N","0.17930","OH","0.00044","AGUA","0.03580","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"102","49A","36","Q","5","V","MAR36","0.25860","BCO46","0.25860","MAR60","0.25860","AE67","0.11930","B64N","0.05926","AGUA","0.04560","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"103","OA","120","P","5","V","MAR120","0.40800","RR80F S/H","0.40800","AE67","0.07358","B64N","0.03671","HAR","0.02020","AGUA","0.05348","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"104","C N","36","J K","8","V","CN 24","0.11190","CN 36","0.33660","CN 80","0.13960","ARM","0.11200","AS30","0.03396","A73N","0.10300","B55N","0.05196","HAR","0.01498","AGUA","0.09590","","0.00000","","0.00000","","0.00000"
"105","49A","54","K","5","V","BCO46","0.39370","MAR60","0.39370","AE67","0.08660","B64N","0.04724","HAR","0.01574","AGUA","0.06300","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"106","99R","36","JK","6","BAK","BCO36","0.33640","MAR46","0.43740","BCO60","0.10100","RR100F","0.00713","OH","0.00387","RESPOL","0.07646","RESLIQ","0.03772","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"107","C N","30","R","6","BAK","CN36","0.39490","CN24","0.24000","ARG30/46","0.10000","100F","0.01000","GRAF","0.00905","RESPOL","0.15000","RESLIQ","0.06800","SIL","0.00010","OH","0.02500","CAL","0.00300","","0.00000","","0.00000"
"108","RUBI","60","N","5","V","RU46","0.20000","RU60","0.46000","RU80","0.12100","BB46","0.08500","AE67","0.04400","AN75","0.04300","AGUA","0.04700","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"109","49A","70","N","5","V","MAR80","0.41230","MAR60","0.27490","BCO120","0.04205","RR80Fs/h","0.04000","B55N","0.12000","AE67","0.06154","AGUA","0.04923","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"110","99R","46","I","7","V","BCO46","0.56000","BCO36","0.24000","AC64","0.08000","B64N","0.04000","AS30","0.02400","HAR","0.01600","AGUA","0.04000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
