"255","R R","250X25X32","10.00","3","3.600","G-100","42","0","5","2"
"256","R R","450X76X38","10.00","3","33.000","G-250","1","0","0","0"
"257","SOM","175X32X32","10.00","25","1.250","C-50","15","0","0","0"
"258","R R","250X25X25","10.00","70","3.000","G-110","2","0","0","0"
"259","C R","175X75X73","10.00","71","2.700","C-35","6","0","0","0"
"260","PLATO","200X13X25","10.00","49","0.970","C-50","10","0","0","0"
"261","C R","150X50X19","10.00","49","1.450","C-30","26","0","0","0"
"263","R R","200X25X19","10.00","72","2.150","C-50","471","0","10","5"
"264","LIMA","150X25X25","10.00","73","0.230","E-70","765","0","50","10"
"265","LIMA","200X25X25","10.00","73","0.330","E-120","945","0","50","10"
"266","SEG","COPAL 200","10.00","47","0.215","C-10","584","0","50","20"
"267","DCR TA","400X4.5X32","10.00","50","1.250","G-250","62","0","50","20"
"268","DCR","406X4.5X32","10.00","217","1.250","G-250","9142","0","50","20"
"269","SEG","COPAL 200 I","10.00","242","0.270","C-6","1229","0","0","0"
"270","DCR","355X3.2X25","10.00","51","0.750","B-220","9315","0","50","20"
"271","DCR","305X3.2X25","10.00","51","0.550","B-210","2452","0","50","20"
"272","DCR","305X4X32","10.00","217","0.700","G-210","770","0","50","20"
"273","PLACA","120X8X8","10.00","50","0.580","150","12","0","1","6"
"274","R R","250X50X32","10.00","74","6.400","G-110","9","0","0","0"
"275","R R","250X50X32","10.00","75","6.900","G-110","2","0","0","0"
"276","R R","150X19X19","10.00","2","1.000","C-30","235","0","10","5"
"277","R R","250X32X32","10.00","2","4.700","G-100","72","0","5","2"
"278","DCD/CO","178X6.4X22","10.00","76","0.360","E-250","8973","0","100","50"
"279","DCR/CO","115X1.6X22","10.00","77","0.035","B-230","22200","0","100","50"
"280","R R","175X25X25","10.00","11","1.300","C-40","2","0","0","0"
"281","PM242","50X25X1/4","10.00","168","0.100","D-60","815","0","0","0"
"282","C R","200X100X25","10.00","33","5.150","G-60","2","0","0","0"
"283","LIMA B","150X25X25","10.00","45","0.210","F-270","15","0","0","0"
"284","LIMA B","150X13X13","10.00","45","0.070","F-135","15","0","0","0"
"285","R R","350X25X127","10.00","10","6.000","G-200","1","0","0","0"
"286","R R","150X10X19","10.00","10","0.550","C-30","10","0","0","0"
"287","DCD","115X3.2X22","10.00","51","0.075","B-180","20490","0","200","500"
"288","DCD","178X6.4X22","10.00","78","0.130","E-250","15390","0","500","200"
"289","DCD","178X6.4X22","10.00","56","0.295","E-250","15090","0","500","200"
"290","RCH","250X13X32","10.00","346","2.000","G-90","622","0","0","0"
"291","RCH","230X13x25","10.00","28","1.650","G-80","113","0","0","0"
"292","RCH","250X6X32","10.00","346","1.100","G-90","200","0","10","5"
"295","R R","250X25X32","10.00","5","3.700","G-100","98","0","5","2"
"296","R R","250X50X32","10.00","5","7.200","G-100","15","0","5","2"
"298","R R","150X25X19","10.00","79","1.980","C-30","157","0","10","5"
"299","R R","150X25X25","10.00","79","1.250","C-30","6","0","0","0"
"300","R R","100X16X16","10.00","79","0.380","C-10","5","0","0","0"
"301","R R","250X50X25","10.00","79","7.000","G-110","2","0","0","0"
"302","R R","200X38X32","10.00","79","3.000","C-50","1","0","0","0"
"303","SOM","250X32X76","10.00","79","2.000","G-100","22","0","0","0"
"304","SOM","125X25X16","10.00","80","0.550","C-30","74","0","10","5"
"305","SOM","100X25X16","10.00","80","0.350","C-20","184","0","10","5"
"306","C R","125X63X19","10.00","34","1.400","C-20","5","0","5","2"
"307","C C","100X50X19","10.00","34","0.700","C-10","24","0","0","0"
"308","R R","350X25X127","10.00","27","5.900","G-200","2","0","0","0"
"309","R c/e","50x25x9.5","10.00","81","0.130","F-140","140","0","0","0"
"310","R R","400X38X127","10.00","9","12.300","G-230","8","0","0","0"
"311","R R","250X38X32","10.00","9","5.200","G-110","2","0","0","0"
"312","C R","125X63X19","10.00","152","1.420","C-20","398","0","10","5"
"313","RCH","250X13X25","10.00","7","1.900","G-90","2","0","0","0"
"314","R R","150X25X19","10.00","7","1.250","C-30","249","0","10","5"
"315","R R","100X13X13","10.00","7","0.300","C-10","46","0","0","0"
"316","R R","300X38X38","10.00","7","7.000","G-150","3","0","0","0"
"317","R R","250X38X32","10.00","7","5.400","G-100","40","0","0","0"
"318","R R","200X25X25","10.00","7","2.150","C-50","298","0","10","5"
"319","SEG","COPAL350","10.00","12","0.420","C-6","320","0","30","10"
"321","C R","175X75X19","10.00","17","3.100","C-35","5","0","0","0"
"322","Rc/e","250X25X85","10.00","17","3.350","G-130","2","0","0","0"
"323","R R","200X25X19","10.00","69","1.900","C-60","5","0","0","0"
"324","R R","250X25X32","10.00","82","3.300","G-150","5","0","5","2"
"325","R R","200X25X25","10.00","82","1.900","G-80","344","0","5","2"
"326","R R","50X50 / rosca","10.00","82","0.220","C-8","205","0","10","5"
"327","PAN","200X50X25","10.00","83","0.560","E-100","110","0","20","10"
"328","R R","300X32X76","10.00","19","5.500","G-160","1","0","0","0"
"329","R R","450X25X152","10.00","8","10.000","G-250","6","0","0","0"
"330","PLATO","465X29X127","10.00","84","11.300","G-250","37","0","4","2"
"331","PLATO","280X32X90","10.00","85","3.900","G-100","128","0","10","4"
"332","R R","450X25X127","10.00","8","10.500","G-250","1","0","0","0"
